NAME,FORM
"CHEMBL6778",C18H17ClN2O2S
"DUP-721",C14H16N2O4
"CHEMBL268454",C11H7BrClN3O
"CHEMBL6524",C20H25N3O2S3
"CHEMBL6521",C17H13ClN4O3S
"Ro-154513",C15H14N6O3
"CHEMBL6421",C17H18N6O3
"CHEMBL266277",C17H16BrN3O2S
"CHEMBL6553",C16H15ClN4O2S
"CHEMBL6582",C11H7Cl2N3O
"CHEMBL6423",C11H6Cl2FN3O
"CHEMBL6790",C16H10F6O2
"CHEMBL216130",C44H63N11O20
"CHEMBL441890",C41H69N11O16S
"CHEMBL6538",C12H10ClN3O2
"CHEMBL269599",C12H8ClF2N3O3S
"CHEMBL6415",C8H10N4O
"CHEMBL6473",C11H9ClN4O
"CHEMBL268455",C12H11ClN4O
"CHEMBL6475",C10H5ClN4
"CHEMBL6583",C17H18N4O2S
"CHEMBL6584",C18H18Cl2N8S
"CHEMBL6422",C25H40O5
"CHEMBL428159",C20H20N2O5
"CHEMBL406172",C77H116N18O26S
"CHEMBL267165",C42H69N9O16
"CHEMBL384261",C44H64N10O18
"CHEMBL267166",C41H65N9O18
"CHEMBL6679",C39H62BrN9O16
"CHEMBL6660",C17H17ClN4O2S
"CHEMBL6651",C10H8ClNO3
"CHEMBL6652",C10H8N2O5
"CHEMBL266661",C12H10ClN3O2
"CHEMBL267399",C13H13N3
"CHEMBL6766",C20H29N5O3
"CHEMBL268116",C18H18BrN3O2S
"CHEMBL6729",C23H25N3O5
"CHEMBL6918",C22H22N2O5
"CHEMBL7086",C10H8N4O
"CHEMBL6930",C11H10N4O2
"CHEMBL7019",C16H15BrN4O2S
"CHEMBL415292",C17H16ClN3O2S
"CHEMBL6720",C10H8BrNO3
"CHEMBL6792",C22H21N3O4
"CHEMBL6791",C12H7ClF3N3O
"CHEMBL7022",C12H13ClN4
"CHEMBL6813",C7H14N2
"ENISOPROST",C22H36O5
"CHEMBL268311",C10H11NO3
"CHEMBL266544",C11H10ClNO3
"CHEMBL7131",C20H27NO6S
"CHEMBL6945",C19H24BrNO5
"CHEMBL6946",C12H13N3O4S2
"CHEMBL7020",C12H13FN4
"CHEMBL441329",C13H16N4O
"CHEMBL217439",C45H64N10O16
"CHEMBL263697",C44H60F5N9O16
"CHEMBL413721",C46H63F6N9O16
"METOPROLOL",C15H25NO3
"CHEMBL266473",C15H14F3NO2
"CHEMBL7289",C15H14F3NO2
"CHEMBL266359",C15H18N2O2S2
"ZIDAPAMIDE",C16H16ClN3O3S
"CHEMBL6379",C13H10O5
"CHEMBL6701",C18H20ClNO4
"CHEMBL6648",C10H9NO2S
"CHEMBL6456",C16H10F6O
